ACCESSION_NUMBER,REPORTCALENDARORQUARTER,ISAMENDMENT,AMENDMENTNO,AMENDMENTTYPE,CONFDENIEDEXPIRED,DATEDENIEDEXPIRED,DATEREPORTED,REASONFORNONCONFIDENTIALITY,FILINGMANAGER_NAME,FILINGMANAGER_STREET1,FILINGMANAGER_STREET2,FILINGMANAGER_CITY,FILINGMANAGER_STATEORCOUNTRY,FILINGMANAGER_ZIPCODE,REPORTTYPE,FORM13FFILENUMBER,CRDNUMBER,SECFILENUMBER,PROVIDEINFOFORINSTRUCTION5,ADDITIONALINFORMATION,timestamp
0001740053-24-000006,30-JUN-2024,N,,,,,,,"Chicago Capital, LLC",135 S Lasalle St,Suite 4200,Chicago,IL,60603,13F HOLDINGS REPORT,028-18746,291624.0,801-112280,N,,2023-10-01
0001860698-24-000003,30-JUN-2024,,,,,,,,"CEERA INVESTMENTS, LLC",4911 WEDGEWOOD DR,,BELLAIRE,TX,77401-2831,13F HOLDINGS REPORT,028-21168,,,N,,2023-10-01
0001104659-24-086147,30-JUN-2024,N,,,,,,,FARLEY CAPITAL L.P.,432 East 87th Street,,New York,NY,10128,13F HOLDINGS REPORT,028-15344,,,N,,2023-10-01
0001214659-24-013870,30-JUN-2024,N,,,,,,,AMH Equity Ltd,32 Old Mill Road,,Great Neck,NY,11023,13F HOLDINGS REPORT,028-21478,,,N,,2023-10-01
0001591379-24-000005,30-JUN-2024,N,,,,,,,BEACON FINANCIAL GROUP,17300 Preston Road,Suite 120,Dallas,TX,75252,13F HOLDINGS REPORT,028-15628,110038.0,801-57962,N,,2023-10-01
0001471474-24-000003,30-JUN-2024,N,,,,,,,"Avidian Wealth Solutions, LLC","One Citycentre, 800 Town & Country Blvd.",Suite 220,Houston,TX,77024,13F HOLDINGS REPORT,028-16078,127186.0,801-64386,N,,2023-10-01
0001115055-24-000155,30-JUN-2024,N,,,,,,,Pinnacle Financial Partners Inc,150 Third Avenue South,,Nashville,TN,37201,13F HOLDINGS REPORT,028-12761,,,N,,2023-10-01
0001132700-24-000001,30-JUN-2024,,,,,,,,SAXON WOODS ADVISORS LLC,2500 WESTCHESTER AVENUE,SUITE 300,PURCHASE,NY,10577,13F NOTICE,028-06661,,,N,,2023-10-01
0001214659-24-013867,30-JUN-2024,N,,,,,,,"NorthRock Partners, LLC",225 SOUTH 6TH STREET,SUITE 1400,MINNEAPOLIS,MN,55402,13F HOLDINGS REPORT,028-16755,,,N,,2023-10-01
0000945621-24-000609,30-JUN-2024,N,,,,,,,Soditic Asset Management LLP,5 BOLTON STREET,,LONDON,X0,W1J 8BA,13F HOLDINGS REPORT,028-21149,,,N,,2023-10-01
0001398344-24-013899,30-JUN-2024,N,,,,,,,"Hamilton Point Investment Advisors, LLC",100 EUROPA DRIVE,SUITE 425,CHAPEL HILL,NC,27517,13F HOLDINGS REPORT,028-15816,144534.0,801-68186,N,,2023-10-01
0001226886-24-000008,30-JUN-2024,,,,,,,,"ALPINE WOODS CAPITAL INVESTORS, LLC",2500 WESTCHESTER AVE,SUITE 300,PURCHASE,NY,10577,13F HOLDINGS REPORT,028-10578,,,N,,2023-10-01
0001878849-24-000003,30-JUN-2024,,,,,,,,"Ulrich Consultants & Investment Group, LLC","1805 RIO GRANDE BLVD. NW, SUITE 1",,ALBUQUERQUE,NM,87104,13F NOTICE,028-21360,,,N,,2023-10-01
0001999371-24-009617,30-JUN-2024,N,,,,,,,"Grafton Street Partners Fund, LP",11838 Lost Tree Way,,North Palm Beach,FL,33408,13F HOLDINGS REPORT,028-23644,319109.0,801-124779,N,,2023-10-01
0001172661-24-003089,30-JUN-2024,N,,,,,,,Donoghue Forlines LLC,One International Place,Suite 310,Boston,MA,02110,13F HOLDINGS REPORT,028-18145,285403.0,801-108564,N,,2023-10-01
0001085146-24-003523,30-JUN-2024,N,,,,,,,DAVENPORT & Co LLC,P O BOX 85678,,RICHMOND,VA,23285-5678,13F HOLDINGS REPORT,028-03200,1588.0,801-13057,N,,2023-10-01
0001172661-24-003088,30-JUN-2024,N,,,,,,,"PARNASSUS INVESTMENTS, LLC",1 Market Street #1600,,San Francisco,CA,94105,13F HOLDINGS REPORT,028-05022,316904.0,801-122618,N,,2023-10-01
0001735605-24-000003,30-JUN-2024,,,,,,,,"USAdvisors Wealth Management, LLC",15750 VENTURE LANE,,EDEN PRAIRIE,MN,55344,13F HOLDINGS REPORT,028-18704,,,N,,2023-10-01
0001398344-24-013888,30-JUN-2024,N,,,,,,,Sippican Capital Advisors,125 HIGH STREET,SUITE 1802,BOSTON,MA,02110,13F HOLDINGS REPORT,028-16310,155188.0,801-71870,N,,2023-10-01
0001085146-24-003522,30-JUN-2024,N,,,,,,,State of New Jersey Common Pension Fund E,50 West State Street 9th Floor,PO Box 290,Trenton,NJ,08625,13F HOLDINGS REPORT,028-13669,,,N,,2023-10-01
0001085146-24-003521,30-JUN-2024,N,,,,,,,Supplemental Annuity Collective Trust of NJ,50 WEST STATE STREET 9TH FLOOR,PO BOX 290,TRENTON,NJ,08625,13F HOLDINGS REPORT,028-13670,,,N,,2023-10-01
0001085146-24-003520,30-JUN-2024,N,,,,,,,NJ State Employees Deferred Compensation Plan,50 WEST STATE STREET 9TH FLOOR,PO BOX 290,TRENTON,NJ,08625,13F HOLDINGS REPORT,028-13668,,,N,,2023-10-01
0001085146-24-003519,30-JUN-2024,N,,,,,,,New Jersey Better Educational Savings Trust,50 WEST STATE STREET 9TH FLOOR,PO BOX 290,TRENTON,NJ,08625,13F HOLDINGS REPORT,028-13644,,,N,,2023-10-01
0001104659-24-086121,30-JUN-2024,N,,,,,,,SANDY SPRING BANCORP INC,17801 Georgia Avenue,,Olney,MD,20832,13F NOTICE,028-13477,,,N,,2023-10-01
0001104659-24-086115,30-JUN-2024,N,,,,,,,Sandy Spring Bank,17801 Georgia Avenue,,Olney,MD,20832,13F COMBINATION REPORT,028-13478,,,N,,2023-10-01
0001447946-24-000008,30-JUN-2024,,,,,,,,"CQS (US), LLC",152 WEST 57TH STREET,40TH FLOOR,NEW YORK,NY,10019,13F HOLDINGS REPORT,028-13237,147329.0,801-69452,N,,2023-10-01
0002009427-24-000004,30-JUN-2024,,,,,,,,"One Wealth Management Investment & Advisory Services, LLC",1111 LINCOLN RD,SUITE 500,MIAMI BEACH,FL,33139,13F HOLDINGS REPORT,028-23531,288030.0,801-125814,N,,2023-10-01
0001438311-24-000003,30-JUN-2024,,,,,,,,CQS (UK) LLP,4TH FLOOR,ONE STRAND,LONDON,X0,WC2N 5HR,13F NOTICE,028-13136,282124.0,802-107009,N,,2023-10-01
0000950123-24-007205,30-JUN-2024,N,,,,,,,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",CALLE AZUL 4,,Madrid,U3,28050,13F HOLDINGS REPORT,028-19997,,1-10110,N,,2023-10-01
0001912273-24-000003,30-JUN-2024,,,,,,,,Yunqi Capital Ltd,"UNIT 3703, 37/F, AIA TOWER","183 ELECTRIC ROAD, NORTH POINT",HONG KONG,K3,000000,13F HOLDINGS REPORT,028-22309,29399.0,802-113445,N,,2023-10-01
0000950123-24-007202,30-JUN-2024,N,,,,,,,Acorn Advisory Capital L.P.,590 Madison Avenue,30th Floor,New York,NY,10022,13F NOTICE,028-18312,,,N,,2023-10-01
0000950123-24-007201,30-JUN-2024,N,,,,,,,"Delphi Financial Group, Inc.",P.O. Box 8985,1105 North Market Street,Wilmington,DE,19899,13F HOLDINGS REPORT,028-15443,,,Y,"Delphi Financial Group, Inc. (""DFG') is the parent company of Delphi Capital Management, Inc. (""DCM') and Acorn Advisory Capital L.P. (""Acorn Advisory'), each of which is an institutional investment manager for purposes of the reporting requirements under Section 13(f) of the Securities Exchange Act of 1934, as amended, and therefore may be deemed to have investment discretion with respect to Section 13(f) securities as to which DCM and Acorn Advisory possess investment discretion, as well as Section 13(f) securities as to which other subsidiaries of DFG possess investment discretion.  DFG is a direct wholly-owned subsidiary of Tokio Marine & Nichido Fire Insurance Co., Ltd. and an indirect wholly-owned subsidiary of Tokio Marine Holdings, Inc.",2023-10-01
0000950123-24-007203,30-JUN-2024,N,,,,,,,"Delphi Capital Management, Inc.",590 Madison Avenue,30th Floor,New York,NY,10022,13F NOTICE,028-15442,,,N,,2023-10-01
0001104659-24-086043,30-JUN-2024,N,,,,,,,"IDG Technology Venture Investment IV, LLC","Unit 5505, 55th Floor, The Center",99 Queen's Road Central,Hong Kong,K3,00000,13F HOLDINGS REPORT,028-22358,,,N,,2023-10-01
0001104659-24-086040,30-JUN-2024,N,,,,,,,IDG China Venture Capital Fund V Associates L.P.,"Unit 5505, 55th Floor","The Center, 99 Queen's Road Central",Hong Kong,K3,00000,13F HOLDINGS REPORT,028-22357,,,N,,2023-10-01
0001104659-24-086038,30-JUN-2024,N,,,,,,,IDG China Venture Capital Fund IV Associates L.P.,"Unit 5505, 55th Floor, The Center",99 Queen's Road Central,Hong Kong,K3,00000,13F HOLDINGS REPORT,028-19982,,,N,,2023-10-01
0000809593-24-000028,30-JUN-2024,N,,,,,,,"American Beacon Advisors, Inc.",220 EAST LAS COLINAS BOULEVARD,SUITE 1200,IRVING,TX,75039,13F NOTICE,028-14511,,,N,,2023-10-01
0001214659-24-013852,30-JUN-2024,N,,,,,,,"BLUESTEM FINANCIAL ADVISORS, LLC",1802 FOX DRIVE,SUITE A,CHAMPAIGN,IL,61820,13F HOLDINGS REPORT,028-20314,,,N,,2023-10-01
0001483870-24-000003,30-JUN-2024,,,,,,,,"TCTC Holdings, LLC",3838 OAK LAWN AVENUE,SUITE 1650,DALLAS,TX,75219,13F HOLDINGS REPORT,028-13830,,,N,,2023-10-01
0001214659-24-013833,30-JUN-2024,N,,,,,,,"Apexium Financial, LP",1920 MCKINNEY AVENUE,SUITE 700,DALLAS,TX,75201,13F HOLDINGS REPORT,028-19109,,,N,,2023-10-01
0001310658-24-000003,30-JUN-2024,,,,,,,,Ledyard National Bank,P O BOX 799,38 S MAIN ST,HANOVER,NH,03755-0799,13F HOLDINGS REPORT,028-11030,,,N,,2023-10-01
0001420506-24-001257,30-JUN-2024,N,,,,,,,Sigma Planning Corp,300 Parkland Plaza,,Ann Arbor,MI,48103,13F HOLDINGS REPORT,028-16541,110692.0,801-20404,N,,2023-10-01
0001352776-24-000003,30-JUN-2024,,,,,,,,Regis Management CO LLC,873 SANTA CRUZ AVE,STE 206,MENLO PARK,CA,94025,13F HOLDINGS REPORT,028-11606,,,N,,2023-10-01
0001423841-24-000003,30-JUN-2024,,,,,,,,"Turtle Creek Management, LLC",3838 OAK LAWN AVENUE,SUITE 1650,DALLAS,TX,75219,13F NOTICE,028-12874,140212.0,801-66626,N,,2023-10-01
0001591122-24-000004,30-JUN-2024,,,,,,,,Heritage Wealth Advisors,919 E MAIN STREET,SUITE 950,RICHMOND,VA,23219,13F HOLDINGS REPORT,028-15751,137484.0,801-64803,N,,2023-10-01
0001508120-24-000003,30-JUN-2024,,,,,,,,"Cohen Capital Management, Inc.",770 TAMALPAIS DRIVE,SUITE 318,CORTE MADERA,CA,94925,13F HOLDINGS REPORT,028-14053,,,N,,2023-10-01
0000950123-24-007184,30-JUN-2024,N,,,,,,,"OpenView Management, LLC",C/O OPENVIEW VENTURE PARTNERS,"303 CONGRESS STREET, 6TH FLOOR",BOSTON,MA,02210,13F HOLDINGS REPORT,028-21583,,,N,,2023-10-01
0001062993-24-014461,30-JUN-2024,N,,,,,,,North Star Investment Management Corp.,20 N. WACKER DRIVE,SUITE # 1416,CHICAGO,IL,60606,13F HOLDINGS REPORT,028-12641,,,N,,2023-10-01
0001965796-24-000008,30-JUN-2024,,,,,,,,"Main Street Group, LTD",4510 COX ROAD,SUITE 102,GLEN ALLEN,VA,23060,13F HOLDINGS REPORT,028-23961,175502.0,801-113192,N,,2023-10-01
0001351431-24-000004,30-JUN-2024,,,,,,,,Matthew 25 Management Corp,715 TWINING ROAD,SUITE 212,DRESHER,PA,19025,13F HOLDINGS REPORT,028-11589,104566.0,801-49550,N,,2023-10-01
0001484052-24-000003,30-JUN-2024,,,,,,,,"Turtle Creek Trust Company, LTA",3838 OAK LAWN AVENUE,SUITE 1650,DALLAS,TX,75219,13F NOTICE,028-13831,,,N,,2023-10-01
0000950123-24-007186,30-JUN-2024,N,,,,,,,"OpenView Advisors, LLC","303 CONGRESS STREET, 6TH FLOOR",,BOSTON,MA,02210,13F NOTICE,028-22514,,,N,,2023-10-01
0001291318-24-000007,30-JUN-2024,,,,,,,,OVERSEA-CHINESE BANKING Corp Ltd,63 CHULIA STREET #10-00,,SINGAPORE,U0,049514,13F HOLDINGS REPORT,028-22953,,,N,,2023-10-01
0001078013-24-000004,30-JUN-2024,,,,,,,,"GREAT LAKES ADVISORS, LLC",231 S. LASALLE STREET,4TH FLOOR,CHICAGO,IL,60604,13F HOLDINGS REPORT,028-05229,110757.0,801-16937,N,,2023-10-01
0001085146-24-003511,30-JUN-2024,N,,,,,,,"Advisor OS, LLC","141 WEST JACKSON BLVD., SUITE 3540",,CHICAGO,IL,60604,13F HOLDINGS REPORT,028-20349,287792.0,801-110639,N,,2023-10-01
0001085146-24-003510,30-JUN-2024,N,,,,,,,"Savant Capital, LLC",190 BUCKLEY DRIVE,,ROCKFORD,IL,61107,13F HOLDINGS REPORT,028-13912,,,N,,2023-10-01
0001085146-24-003509,30-JUN-2024,N,,,,,,,"Sustainable Insight Capital Management, LLC",33 WEST 60TH STREET,FLOOR 2,NEW YORK,NY,10023,13F HOLDINGS REPORT,028-17909,,,N,,2023-10-01
0001085146-24-003508,30-JUN-2024,N,,,,,,,"AF Advisors, Inc.",3508 CODY WAY,SUITE 100,SACRAMENTO,CA,95864,13F HOLDINGS REPORT,028-20317,149683.0,801-114137,N,,2023-10-01
0001085146-24-003507,30-JUN-2024,N,,,,,,,Narwhal Capital Management,531 ROSELANE STREET,SUITE 420,MARIETTA,GA,30060,13F HOLDINGS REPORT,028-13509,135958.0,801-66563,N,,2023-10-01
0001085146-24-003506,30-JUN-2024,N,,,,,,,ACCOUNT MANAGEMENT LLC,24 MEETING PLACE CIRCLE,,BOXFORD,MA,01921,13F HOLDINGS REPORT,028-01363,110303.0,801-3548,N,,2023-10-01
0001085146-24-003505,30-JUN-2024,N,,,,,,,Opes Wealth Management LLC,535 MIDDLEFIELD ROAD,SUITE 160,MENLO PARK,CA,94025,13F HOLDINGS REPORT,028-19481,299704.0,,N,,2023-10-01
0001085146-24-003504,30-JUN-2024,N,,,,,,,UNIVEST FINANCIAL Corp,14 North Main Street,Po Box 197,SOUDERTON,PA,18964,13F HOLDINGS REPORT,028-03779,,,N,,2023-10-01
0001085146-24-003503,30-JUN-2024,N,,,,,,,SFE Investment Counsel,801 SOUTH FIGUEROA STREET,SUITE 2100,LOS ANGELES,CA,90017,13F HOLDINGS REPORT,028-11318,145530.0,801-68580,N,,2023-10-01
0001085146-24-003502,30-JUN-2024,N,,,,,,,BOYAR ASSET MANAGEMENT INC.,32 WEST 39TH STREET FL 9,,NEW YORK,NY,10018,13F HOLDINGS REPORT,028-10330,,,N,,2023-10-01
0001085146-24-003501,30-JUN-2024,N,,,,,,,Howard Capital Management Inc.,1145 HEMBREE RD.,,ROSWELL,GA,30076,13F HOLDINGS REPORT,028-18796,118070.0,801-69763,N,,2023-10-01
0001085146-24-003500,30-JUN-2024,N,,,,,,,"Weil Company, Inc.",11236 EL CAMINO REAL,SUITE 200,SAN DIEGO,CA,92130,13F HOLDINGS REPORT,028-11295,22090.0,801-42757,N,,2023-10-01
0001085146-24-003498,30-JUN-2024,N,,,,,,,"FLYNN ZITO CAPITAL MANAGEMENT, LLC",585 STEWART AVE,SUITE 620,GARDEN CITY,NY,11530,13F HOLDINGS REPORT,028-21741,,,N,,2023-10-01
0001085146-24-003497,30-JUN-2024,N,,,,,,,Candriam S.C.A.,"19-21, ROUTE D'ARLON",,"Strassen, Luxembourg",N4,8009,13F HOLDINGS REPORT,028-16845,,,N,,2023-10-01
0001056559-24-000003,30-JUN-2024,,,,,,,,NORTH STAR ASSET MANAGEMENT INC,134 E. WISCONSIN AVE.,"ONE NEENAH CENTER, SUITE 300",NEENAH,WI,54956,13F HOLDINGS REPORT,028-06858,,,N,,2023-10-01
0001085146-24-003496,30-JUN-2024,N,,,,,,,"Private Advisor Group, LLC",305 MADISON AVENUE,,MORRISTOWN,NJ,07960,13F HOLDINGS REPORT,028-15851,,,N,,2023-10-01
0001924030-24-000003,30-JUN-2024,,,,,,,,"Atlas Financial Advisors, Inc.",2126 5TH AVENUE,,OROVILLE,CA,95965,13F HOLDINGS REPORT,028-22420,160276.0,801-120944,N,,2023-10-01
0001085146-24-003495,30-JUN-2024,N,,,,,,,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,51 MADISON AVE,,New York,NY,10010,13F COMBINATION REPORT,028-06325,,,N,,2023-10-01
0001085146-24-003494,30-JUN-2024,N,,,,,,,"NORTHWEST WEALTH MANAGEMENT, LLC",1607 W 18TH ST,,SPENCER,IA,51301,13F HOLDINGS REPORT,028-17661,152816.0,801-72545,N,,2023-10-01
0001085146-24-003493,30-JUN-2024,N,,,,,,,INDEXIQ LLC,51 MADISON AVENUE,4TH FLOOR,NEW YORK,NY,10010,13F NOTICE,028-13710,,,N,,2023-10-01
0001085146-24-003492,30-JUN-2024,N,,,,,,,"QUARRY HILL ADVISORS, LLC",550 VANDALIA ST,STE 311,ST PAUL,MN,55114,13F HOLDINGS REPORT,028-22882,288334.0,801-122010,N,,2023-10-01
0001085146-24-003491,30-JUN-2024,N,,,,,,,"Fluent Financial, LLC",14800 LANDMARK BLVD,SUITE 848,DALLAS,TX,75254,13F HOLDINGS REPORT,028-18361,,,N,,2023-10-01
0001843745-24-000003,30-JUN-2024,,,,,,,,Addison Advisors LLC,PO BOX 30,,MIDDLEBURY,VT,05753,13F HOLDINGS REPORT,028-20522,,,N,,2023-10-01
0001280965-24-000042,30-JUN-2024,N,,,,,,,"Tortoise Capital Advisors, L.L.C.",6363 College Boulevard,Suite 100A,Overland Park,KS,66211,13F HOLDINGS REPORT,028-11123,,801-6162,N,,2023-10-01
0001172661-24-003087,30-JUN-2024,N,,,,,,,"CAHABA WEALTH MANAGEMENT, INC.",1200 Peachtree Street NE,Suite 610,Atlanta,GA,30309,13F HOLDINGS REPORT,028-18150,151675.0,801-70837,N,,2023-10-01
0001724269-24-000005,30-JUN-2024,,,,,,,,"LAKE STREET ADVISORS GROUP, LLC",145 MAPLEWOOD AVE,SUITE 210,PORTSMOUTH,NH,03801,13F HOLDINGS REPORT,028-18626,288300.0,801-110455,N,,2023-10-01
0001802474-24-000004,30-JUN-2024,,,,,,,,"Lloyd Advisory Services, LLC.",3575 LAWRENCEVILLE SUWANEE ROAD,,SUWANEE,GA,30024,13F HOLDINGS REPORT,028-19912,150582.0,801-117056,N,,2023-10-01
0001941040-24-000322,30-JUN-2024,N,,,,,,,"Intelligence Driven Advisers, LLC",2792 Gateway Road,,Carlsbad,CA,92009,13F HOLDINGS REPORT,028-20336,299589.0,801-114418,N,,2023-10-01
0001841768-24-000003,30-JUN-2024,,,,,,,,"PATRON PARTNERS, LLC",11700 KATY FREEWAY,SUITE 100,HOUSTON,TX,77079,13F HOLDINGS REPORT,028-21091,,,N,,2023-10-01
0001511739-24-000003,30-JUN-2024,,,,,,,,"Hanlon Investment Management, Inc.",3393 BARGAINTOWN ROAD,,EGG HARBOR TOWNSHIP,NJ,08234,13F HOLDINGS REPORT,028-14155,,,N,,2023-10-01
0001531971-24-000004,30-JUN-2024,,,,,,,,XR Securities LLC,550 WEST JACKSON BOULEVARD,SUITE 1000,CHICAGO,IL,60661,13F HOLDINGS REPORT,028-18190,145357.0,8-067724,N,,2023-10-01
0000040417-24-000039,30-JUN-2024,,,,,,,,GENERAL AMERICAN INVESTORS CO INC,530 FIFTH AVE,26TH FLOOR,NEW YORK,NY,10036,13F HOLDINGS REPORT,028-00461,,,N,,2023-10-01
0001172661-24-003084,30-JUN-2024,N,,,,,,,Seven Post Investment Office LP,"One Montgomery Street, Suite 3150",,San Francisco,CA,94104,13F COMBINATION REPORT,028-15323,157435.0,801-72411,N,,2023-10-01
0001761450-24-000003,30-JUN-2024,,,,,,,,Valtinson Bruner Financial Planning LLC,388 CLEVELAND AVE SW,,NEW BRIGHTON,MN,55112,13F HOLDINGS REPORT,028-18989,,,N,,2023-10-01
0001376474-24-000395,30-JUN-2024,,,,,,,,Wakefield Asset Management LLLP,7887 E Belleview Ave,Suite 800,Englewood,CO,80111,13F HOLDINGS REPORT,028-18951,,,N,,2023-10-01
0001765380-24-000279,30-JUN-2024,,,,,,,,"GENTRY PRIVATE WEALTH, LLC","8415 E. 21ST STREET, NORTH",SUITE 150,WICHITA,KS,67206,13F HOLDINGS REPORT,028-24263,323208.0,801-126629,N,,2023-10-01
0001963787-24-000004,30-JUN-2024,,,,,,,,Commonwealth Retirement Investments LLC,9030 STONY POINT PARKWAY,SUITE 580,RICHMOND,VA,23235,13F HOLDINGS REPORT,028-22842,,,N,,2023-10-01
0000950123-24-007159,30-JUN-2024,N,,,,,,,"Emergence GP Partners, LLC","Pier 5, the Embarcadero",Ste 102,San Francisco,CA,94111-2094,13F HOLDINGS REPORT,028-20016,,,N,,2023-10-01
0001437749-24-024648,30-JUN-2024,,,,,,,,FIDELITY D & D BANCORP INC,Blakely & Drinker Streets,,Dunmore,PA,18512,13F HOLDINGS REPORT,028-23470,,,N,,2023-10-01
0001941040-24-000321,30-JUN-2024,N,,,,,,,"Sivia Capital Partners, LLC",495 Miller Avenue,Ste 206,Mill Valley,CA,94941,13F HOLDINGS REPORT,028-23900,170413.0,801-79173,N,,2023-10-01
0000950123-24-007158,31-MAR-2024,N,,,,,,,"Emergence GP Partners, LLC","Pier 5, The Embarcadero",Ste 102,San Francisco,CA,94111-2094,13F HOLDINGS REPORT,028-20016,,,N,,2023-10-01
0001062993-24-014424,30-JUN-2024,N,,,,,,,"HOURGLASS CAPITAL, LLC",5020 MONTROSE BLVD,SUITE 400,HOUSTON,TX,77006,13F HOLDINGS REPORT,028-13181,147754.0,801-69395,N,,2023-10-01
0001765380-24-000278,30-JUN-2024,,,,,,,,"Truepoint, Inc.",9999 CARVER ROAD,SUITE 200,CINCINNATI,OH,45242,13F HOLDINGS REPORT,028-13017,105664.0,801-25433,N,,2023-10-01
0001879206-24-000004,30-JUN-2024,,,,,,,,"Blue Barn Wealth, LLC",370 WEST CENTER STREET,,OREM,UT,84057,13F HOLDINGS REPORT,028-21361,,,N,,2023-10-01
0001941040-24-000320,30-JUN-2024,N,,,,,,,"Acuitas Investments, LLC",520 Pike Street,Suite 1221,Seattle,WA,98101,13F COMBINATION REPORT,028-16461,155782.0,801-79447,N,,2023-10-01
0001333709-24-000007,30-JUN-2024,,,,,,,,Summit Creek Advisors LLC,120 SOUTH SIXTH STREET,SUITE 2200,MINNEAPOLIS,MN,55402,13F HOLDINGS REPORT,028-11507,,,N,,2023-10-01
0000897069-24-001618,30-JUN-2024,N,,,,,,,Arizona State Retirement System,3300 NORTH CENTRAL AVENUE,14TH FLOOR,PHOENIX,AZ,85012,13F HOLDINGS REPORT,028-15059,,,N,,2023-10-01
0001749768-24-000018,30-JUN-2024,,,,,,,,IMPAX ASSET MANAGEMENT LLC,30 PENHALLOW STREET,SUITE 400,PORTSMOUTH,NH,03801,13F NOTICE,028-05955,,,N,,2023-10-01
0001749768-24-000017,30-JUN-2024,,,,,,,,Impax Asset Management (AIFM) Ltd,7TH FLOOR,30 PANTON STREET,LONDON,X0,SW1Y 4AJ,13F NOTICE,028-16813,,,N,,2023-10-01
0001941040-24-000319,30-JUN-2024,N,,,,,,,"Artemis Wealth Advisors, LLC",570 Lexington Avenue,39th Floor,New York,NY,10022,13F HOLDINGS REPORT,028-22423,150810.0,801-71019,N,,2023-10-01
0001749768-24-000016,30-JUN-2024,,,,,,,,Impax Asset Management LTD,7TH FLOOR,30 PANTON STREET,LONDON,X0,SW1Y 4AJ,13F NOTICE,028-13410,,,N,,2023-10-01
0001171200-24-000243,30-JUN-2024,N,,,,,,,JENSEN INVESTMENT MANAGEMENT INC,5500 Meadows Drive,Suite 200,Lake Oswego,OR,97035,13F HOLDINGS REPORT,028-03495,105281.0,028-03495,N,,2023-10-01
0001172661-24-003081,30-JUN-2024,N,,,,,,,ICW Investment Advisors LLC,16427 North Scottsdale Road,Suite 350,Scottsdale,AZ,85254,13F HOLDINGS REPORT,028-19764,135081.0,801-64460,N,,2023-10-01
0001506071-24-000001,30-JUN-2024,,,,,,,,"Wellington Shields Capital Management, LLC",140 BROADWAY,,NEW YORK,NY,10005,13F HOLDINGS REPORT,028-14047,,,N,,2023-10-01
0001172661-24-003080,30-JUN-2024,N,,,,,,,WAFRA INC.,345 Park Avenue 41st Floor,,New York,NY,101540101,13F HOLDINGS REPORT,028-03809,108673.0,801-23491,N,,2023-10-01
0001172661-24-003079,30-JUN-2024,N,,,,,,,M FINANCIAL INVESTMENT ADVISERS INC /ADV,M Financial Plaza,"1125 Nw Couch Street, Suite 900",Portland,OR,97209,13F NOTICE,028-20185,106648.0,801-50553,N,,2023-10-01
0001104659-24-085796,30-JUN-2024,N,,,,,,,"Pacifica Capital Investments, LLC",3550 LAKELINE BLVD.,"Ste 170, #1715",Leander,TX,78641,13F HOLDINGS REPORT,028-13872,,,N,,2023-10-01
0001134700-24-000004,30-JUN-2024,,,,,,,,YMCA RETIREMENT FUND,120 BROADWAY,,NEW YORK,NY,10217,13F NOTICE,028-06535,,,N,,2023-10-01
0001140361-24-035730,30-JUN-2024,N,,,,,,,FARMERS & MERCHANTS INVESTMENTS INC,PO BOX 82535,,LINCOLN,NE,68501,13F HOLDINGS REPORT,028-10511,,,N,,2023-10-01
0001699080-24-000006,30-JUN-2024,,,,,,,,"Synergy Asset Management, LLC",13215 SE MILL PLAIN BLVD,SUITE C8-321,VANCOUVER,WA,98684,13F HOLDINGS REPORT,028-20757,117201.0,801-64132,N,,2023-10-01
0001137439-24-001218,30-JUN-2024,,,,,,,,"Liberty Street Advisors, Inc.",88 PINE STREET,SUITE 3101,NEW YORK,NY,10005,13F COMBINATION REPORT,028-13888,142949.0,801-67698,N,,2023-10-01
0001749768-24-000015,30-JUN-2024,,,,,,,,Impax Asset Management Group plc,7TH FLOOR,30 PANTON STREET,LONDON,X0,SW1Y 4AJ,13F HOLDINGS REPORT,028-18939,,,N,,2023-10-01
0001697721-24-000008,30-JUN-2024,,,,,,,,"Seafarer Capital Partners, LLC",P O BOX 7036,,CORTE MADERA,CA,94976,13F HOLDINGS REPORT,028-17755,,,N,,2023-10-01
0001831263-24-000004,30-JUN-2024,,,,,,,,"JEPPSON WEALTH MANAGEMENT, LLC",1230 ROSECRANS AVENUE,SUITE 300,MANHATTAN BEACH,CA,90266,13F HOLDINGS REPORT,028-20414,,,N,,2023-10-01
0001993325-24-000003,30-JUN-2024,,,,,,,,"Slocum, Gordon & Co LLP",39 MILL STREET,,NEWPORT,RI,02840,13F HOLDINGS REPORT,028-23401,104929.0,,N,,2023-10-01
0001140361-24-035719,30-JUN-2024,N,,,,,,,UNION BANK & TRUST CO /NE/,PO BOX 82535,,LINCOLN,NE,68501,13F NOTICE,028-10512,,,N,,2023-10-01
0001494234-24-000006,30-JUN-2024,,,,,,,,Hemenway Trust Co LLC,HEMENWAY TRUST COMPANY LLC,"23 KEEWAYDIN DRIVE, SUITE 400",SALEM,NH,03079,13F HOLDINGS REPORT,028-14337,,,N,,2023-10-01
